iter	Passed	Remaining
0	0	67
1	1	60
2	1	61
3	5	120
4	7	143
5	9	154
6	11	147
7	12	142
8	15	156
9	17	158
10	19	160
11	21	156
12	22	153
13	24	148
14	25	147
15	27	144
16	28	136
17	29	136
18	32	137
19	33	132
20	33	127
21	37	132
22	38	127
23	39	125
24	42	126
25	42	121
26	43	116
27	44	115
28	45	110
29	46	109
30	48	108
31	51	109
32	53	108
33	54	105
34	56	104
35	57	102
36	58	100
37	60	99
38	62	98
39	63	95
40	65	93
41	66	92
42	68	90
43	68	87
44	72	88
45	73	86
46	75	84
47	77	83
48	77	80
49	79	79
50	80	77
51	82	75
52	82	73
53	85	72
54	87	71
55	87	69
56	88	66
57	91	66
58	92	63
59	92	61
60	94	60
61	95	58
62	96	56
63	97	54
64	97	52
65	98	50
66	98	48
67	99	46
68	100	44
69	101	43
70	102	41
71	103	40
72	103	38
73	104	36
74	104	34
75	105	33
76	105	31
77	106	29
78	106	28
79	107	26
80	108	25
81	109	23
82	109	22
83	109	20
84	110	19
85	111	18
86	112	16
87	113	15
88	114	14
89	114	12
90	116	11
91	116	10
92	117	8
93	117	7
94	118	6
95	118	4
96	118	3
97	119	2
98	119	1
99	120	0
